,center_dist,price,Комнат,Площадь квартиры,Этаж,Лифт,Материал стен,Парковка,Жилая площадь,Площадь кухни,Ремонт,Санузел,Кол-во санузлов,Высота потолков
2585,12.7,25597690,2,64.8,9,,монолит,,32.1,7.4,,,,
2586,11.8,32000000,3,85.0,15,есть,,,48.4,10.0,Евро,раздельный,1,2.64
2587,9.2,32449027,2,65.5,20,есть,монолит,закрытая,24.5,18.4,,,2,3.0
2588,14.4,19700000,3,64.5,16,есть,,,46.3,7.8,Евро,раздельный,1,2.64
2589,9.2,21546774,1,40.9,17,есть,монолит,закрытая,13.3,18.6,,совмещённый,1,3.0
2590,7.9,47891335,3,83.9,26,,,,42.2,,,,2,3.15
2591,22.3,19500000,3,83.0,12,есть,,,,10.0,Хороший,раздельный,1,2.7
2592,,67921011,2,57.8,30,есть,монолит,закрытая,,,,,,3.1
2593,5.9,16490000,1,47.4,24,есть,,,,10.0,Хороший,раздельный,1,2.7
2594,6.2,19700000,2,47.5,3,есть,,,25.0,12.0,Дизайнерский,раздельный,1,2.64
2595,14.4,24000000,2,90.0,5,есть,,,,20.0,Дизайнерский,совмещённый,1,2.5
2596,13.1,27700000,2,71.0,10,есть,,,,25.4,Дизайнерский,совмещённый,2,2.64
2597,15.5,21590000,1,50.8,32,есть,кирпич-монолит,подземная,12.8,,,,,3.0
2598,10.0,17900000,1,42.0,8,есть,,,22.2,10.4,Евро,совмещённый,1,2.7
2599,5.2,28496160,2,61.7,11,есть,кирпич-монолит,закрытая,,,,,,
2600,16.3,15400000,3,57.8,5,есть,,,,5.7,Дизайнерский,раздельный,1,2.64
2601,5.2,19589560,1,45.8,4,есть,кирпич-монолит,закрытая,,,,,,
2602,5.2,40883220,3,89.5,5,есть,кирпич-монолит,закрытая,,,,,,
2603,14.0,20000000,2,53.4,6,есть,,,32.2,9.0,Евро,раздельный,1,2.64
2604,5.2,28839420,2,60.5,16,есть,кирпич-монолит,закрытая,,,,,,
2605,5.2,33216300,2,75.2,9,есть,кирпич-монолит,закрытая,,,,,,
2606,12.3,24927920,2,58.6,9,,монолит,,38.4,5.2,,,,
2607,9.2,30606605,2,68.7,13,есть,монолит,закрытая,23.9,23.2,,,2,3.0
2608,12.9,22500000,2,55.7,15,есть,,,30.0,12.0,Евро,раздельный,1,2.64
2609,20.7,19800000,3,75.0,6,есть,,,8.5,45.0,Евро,раздельный,1,2.64
2610,15.5,19815250,1,45.5,36,есть,кирпич-монолит,,16.2,13.0,,,,3.0
2611,5.2,17545550,1,40.2,4,есть,кирпич-монолит,закрытая,,,,,,
2612,6.7,21750000,2,63.3,3,есть,,,,9.0,Хороший,раздельный,1,3.5
2613,6.1,18900000,1,30.0,11,есть,,,,15.0,Дизайнерский,раздельный,1,3.0
2614,12.9,18950000,3,82.0,2,есть,,,57.8,7.8,Евро,раздельный,1,3.3
2615,15.4,19700000,3,81.8,6,есть,,,,8.0,Хороший,раздельный,1,2.64
2616,7.9,25249353,2,58.6,5,,,,25.9,,,,2,3.15
2617,15.5,16322730,,34.9,37,есть,кирпич-монолит,подземная,13.5,,,,,3.0
2618,5.2,21089360,1,44.1,13,есть,кирпич-монолит,закрытая,,,,,,
2619,5.2,25500000,3,74.0,9,есть,,,,9.0,Евро,раздельный,1,2.64
2620,4.8,28500000,3,78.2,2,есть,,,45.0,10.0,Евро,раздельный,1,3.2
2621,4.4,32900000,2,72.2,2,есть,,,,10.0,Евро,совмещённый,1,2.64
2622,9.5,23300000,2,58.0,22,есть,,,,10.0,Евро,раздельный,1,2.5
2623,15.5,32939800,3,87.2,32,есть,кирпич-монолит,подземная,51.2,10.3,,,,3.0
2624,10.3,24700000,3,77.4,2,есть,,,,10.0,Дизайнерский,раздельный,2,2.64
2625,12.1,30000000,3,77.9,7,есть,,,,10.0,Евро,раздельный,1,2.64
2626,5.2,25573650,1,58.8,6,есть,кирпич-монолит,закрытая,,,,,,
2627,5.2,19452250,1,45.8,3,есть,кирпич-монолит,закрытая,,,,,,
2628,12.8,34700000,3,95.0,11,есть,,,,12.0,Евро,раздельный,1,2.78
2629,5.2,15054060,,34.4,6,есть,кирпич-монолит,закрытая,,,,,,
2630,15.5,16322730,,34.9,37,есть,кирпич-монолит,,13.5,,,,,3.0
2631,5.2,22139820,1,52.3,4,есть,кирпич-монолит,закрытая,,,,,,
2632,13.7,19000000,2,62.6,5,есть,,,42.0,11.0,Хороший,совмещённый,1,3.0
2633,11.6,16249000,2,51.0,12,есть,,,,9.8,Хороший,раздельный,1,2.75
2634,15.5,19678750,1,45.5,30,есть,кирпич-монолит,,16.2,13.0,,,,3.0
2635,5.2,33207300,2,66.2,14,есть,кирпич-монолит,закрытая,,,,,,
2636,5.2,21185400,1,45.6,14,есть,кирпич-монолит,закрытая,,,,,,
2637,15.5,15600000,3,62.1,11,есть,,,42.0,9.0,Евро,раздельный,1,2.64
2638,19.3,17493056,2,52.9,12,,,,23.5,17.8,,,,
2639,9.4,16000000,2,58.0,6,есть,,,,9.5,Хороший,раздельный,1,2.64
2640,8.4,21500000,2,53.9,4,есть,,,,10.0,Евро,раздельный,1,2.5
2641,5.2,23091360,1,52.7,10,есть,кирпич-монолит,закрытая,,,,,,
2642,,23900000,2,41.3,5,есть,,,32.6,3.4,Дизайнерский,раздельный,1,2.7
2643,17.9,41807881,2,85.3,2,,,,29.4,23.4,,совмещённый,2,
2644,12.3,19179118,1,35.5,25,,монолит,,24.4,5.0,,,,
2645,10.2,29100000,3,75.3,2,есть,,,48.3,11.5,Евро,раздельный,1,2.8
2646,8.5,19200000,2,53.6,14,есть,,,32.2,9.3,Евро,раздельный,1,2.64
2647,3.8,33900000,2,55.0,14,есть,,,,9.2,Дизайнерский,совмещённый,1,2.8
2648,16.4,16332192,1,40.5,13,,монолит,,14.6,19.7,,,,
2649,,25700000,3,73.1,1,есть,,,,9.3,Хороший,раздельный,1,2.5
2650,17.4,16300000,2,57.0,13,есть,,,36.0,13.0,Евро,раздельный,1,2.7
2651,7.9,23849086,1,46.8,22,,,,14.1,,,совмещённый,1,3.15
2652,7.9,30692027,2,69.0,9,,,,25.0,,,,2,3.15
2653,24.8,17508890,3,77.8,3,есть,панель,закрытая,42.3,12.2,,,,2.84
2654,20.1,15100000,3,70.0,9,есть,,,,10.0,Евро,раздельный,1,3.0
2655,4.0,17800000,,25.8,18,есть,,,19.8,,Дизайнерский,раздельный,1,3.0
2656,16.4,15568536,1,36.9,17,,монолит,,13.0,16.6,,,,
2657,8.4,23999000,2,67.0,6,есть,,,,10.0,Хороший,раздельный,1,3.0
2658,15.5,19724250,1,45.5,32,есть,кирпич-монолит,,16.2,13.0,,,,3.0
2659,9.3,19400000,1,38.0,3,есть,,,16.0,8.0,Хороший,раздельный,1,2.8
2660,5.2,34000000,3,78.0,5,есть,,,,8.0,Хороший,раздельный,1,2.5
2661,21.0,15100000,2,59.9,9,есть,,,35.2,10.2,Хороший,раздельный,1,2.64
2662,4.9,30000000,2,70.0,5,есть,,,,16.0,Евро,раздельный,1,2.64
2663,5.2,45597200,3,103.6,3,есть,кирпич-монолит,закрытая,,,,,,
2664,5.2,19208500,1,46.8,3,есть,кирпич-монолит,закрытая,,,,,,
2665,17.9,50056773,3,106.2,2,,,,54.8,16.6,,совмещённый,2,
2666,9.2,29500000,3,75.0,15,есть,,,,10.0,Евро,раздельный,1,2.64
2667,12.3,19109677,1,37.1,18,,монолит,,24.5,6.4,,,,
2668,,61172849,2,57.3,27,есть,монолит,закрытая,,,,,,3.1
2669,5.2,21929730,1,48.4,9,есть,кирпич-монолит,закрытая,,,,,,
2670,19.3,17361356,2,53.2,16,,,,25.9,14.0,,,,
2671,15.6,35000000,3,73.0,6,есть,,,,8.0,Евро,раздельный,1,2.64
2672,22.4,23500000,3,93.7,11,есть,,,44.4,20.2,Евро,раздельный,1,2.64
2673,5.2,44391600,3,94.1,7,есть,кирпич-монолит,закрытая,,,,,,
2674,12.3,18956305,1,37.1,17,,монолит,,24.5,6.4,,,,
2675,7.9,29859696,2,58.9,8,,,,23.1,,,,2,3.15
2676,6.3,24700000,3,73.0,3,есть,,,,8.5,Евро,раздельный,1,3.0
2677,5.8,15150000,1,37.0,10,есть,,,18.0,12.0,Хороший,совмещённый,1,2.7
2678,11.5,16500000,2,45.0,3,есть,,,30.0,6.0,Хороший,совмещённый,1,2.5
2679,28.7,15000000,3,70.2,11,есть,,,40.5,16.5,Евро,раздельный,1,2.64
2680,8.7,22700000,2,63.9,2,есть,,,40.5,9.5,Хороший,раздельный,1,3.0
2681,13.4,15000000,3,56.0,1,есть,,,32.5,6.5,Хороший,совмещённый,1,2.64
2682,16.6,15000000,2,50.4,3,есть,,,,11.0,Евро,раздельный,1,2.5
2683,5.2,25609920,2,62.2,4,есть,кирпич-монолит,закрытая,,,,,,
2684,12.3,17880250,1,35.1,12,,монолит,,24.3,4.8,,,,
2685,5.2,32207000,3,75.3,7,есть,кирпич-монолит,закрытая,,,,,,
2686,7.7,16000000,3,57.9,8,есть,,,44.0,6.0,Хороший,раздельный,1,2.64
2687,19.3,17433438,2,52.9,11,,,,23.5,17.8,,,,
2688,5.2,27663480,2,59.1,8,есть,кирпич-монолит,закрытая,,,,,,
2689,,15800000,3,75.5,16,есть,,,,10.0,Евро,раздельный,2,2.64
2690,5.2,27960240,2,60.5,12,есть,кирпич-монолит,закрытая,,,,,,
2691,19.3,17409236,2,53.2,5,,,,25.9,14.0,,,,
2692,19.3,17699049,2,52.9,9,,,,23.5,17.8,,,,
2693,5.2,21071580,1,47.1,9,есть,кирпич-монолит,закрытая,,,,,,
2694,5.0,17900000,1,38.0,9,есть,,,20.0,8.0,Хороший,раздельный,1,2.5
2695,24.2,17500000,3,80.0,1,есть,,,,16.6,Евро,раздельный,2,4.5
2696,10.7,29900000,3,79.0,6,есть,,,,12.5,Евро,совмещённый,1,2.5
2697,5.0,31472000,3,70.9,2,есть,,,,7.6,Евро,совмещённый,1,2.5
2698,5.0,19700000,2,45.0,1,есть,,,,7.8,Дизайнерский,раздельный,1,2.5
2699,7.9,19042353,,29.6,22,,,,15.5,,,совмещённый,1,3.15
2700,23.4,16300000,3,72.2,17,есть,,,,10.0,Евро,раздельный,1,2.64
2701,7.9,36701719,2,80.2,13,,,,29.5,,,,2,3.15
2702,14.5,18700000,1,39.0,12,есть,,,,10.0,Дизайнерский,совмещённый,1,3.0
2703,4.0,47742465,2,70.3,21,есть,монолит,закрытая,26.0,5.4,,,2,3.0
2704,13.9,15000000,2,54.3,4,есть,,,,,Хороший,совмещённый,1,2.64
2705,5.2,27659250,2,58.2,13,есть,кирпич-монолит,закрытая,,,,,,
2706,5.2,64182800,3,110.7,10,есть,кирпич-монолит,закрытая,,,,,,
2707,5.2,28678470,2,61.4,12,есть,кирпич-монолит,закрытая,,,,,,
2708,7.7,39900000,3,92.0,12,есть,,,,7.8,Дизайнерский,раздельный,2,2.64
2709,13.9,16300000,2,60.8,11,есть,,,32.4,9.4,Евро,раздельный,1,2.5
2710,18.2,29200000,3,110.7,20,есть,,,65.0,14.5,Евро,раздельный,1,2.64
2711,9.2,20049562,1,46.9,10,есть,монолит,закрытая,16.6,18.3,,,2,3.0
2712,12.3,19263048,1,37.1,20,,монолит,,24.5,6.4,,,,
2713,15.5,22876360,2,53.3,34,есть,кирпич-монолит,,26.2,13.0,,,,3.0
2714,4.0,18900000,2,56.0,3,есть,,,18.0,15.0,Евро,совмещённый,1,3.0
2715,16.4,25343960,2,65.0,20,,монолит,,28.8,22.4,,,,
2716,12.3,24850000,3,79.1,6,есть,,,,10.0,Евро,совмещённый,1,2.64
2717,8.4,16500000,3,57.0,1,есть,,,,10.0,Хороший,раздельный,1,2.64
2718,4.4,21900000,4,79.0,1,есть,,,48.0,8.6,Евро,раздельный,1,2.5
2719,5.2,23501860,1,53.8,6,есть,кирпич-монолит,закрытая,,,,,,
2720,8.6,26500000,3,73.0,5,есть,,,45.9,27.1,Дизайнерский,совмещённый,1,3.0
2721,5.2,19900000,2,45.0,8,есть,,,14.3,22.7,Евро,раздельный,1,2.64
2722,12.3,16849004,1,35.6,7,,монолит,,24.2,4.8,,,,
2723,9.0,37500000,2,71.5,14,есть,,,45.0,12.0,Дизайнерский,совмещённый,2,3.0
2724,17.9,27425998,1,56.3,1,,,,16.4,24.0,,совмещённый,1,
2725,19.3,17426878,2,52.9,5,,,,23.5,17.8,,,,
2726,5.2,20274200,1,45.6,10,есть,кирпич-монолит,закрытая,,,,,,
2727,11.3,16800000,2,66.2,2,есть,,,,10.0,Хороший,раздельный,1,2.48
2728,5.2,22275960,1,46.1,14,есть,кирпич-монолит,закрытая,,,,,,
2729,9.2,35548747,2,76.2,18,есть,монолит,закрытая,25.8,28.4,,,2,3.0
2730,22.1,15400000,1,46.4,3,есть,,,16.0,18.3,Евро,совмещённый,1,2.8
2731,5.2,21307280,1,47.1,10,есть,кирпич-монолит,закрытая,,,,,,
2732,9.2,17960000,3,64.0,12,есть,,,,10.0,Хороший,раздельный,1,2.6
2733,11.2,16500000,2,42.6,9,есть,,,29.6,6.0,Хороший,раздельный,1,2.64
2734,12.7,21255723,2,64.8,4,,монолит,,32.1,7.4,,,,
2735,5.2,26749450,1,58.8,10,есть,кирпич-монолит,закрытая,,,,,,
2736,6.5,29500000,3,75.0,5,есть,,,,6.0,Евро,раздельный,2,2.75
2737,12.7,15635618,1,41.1,12,,монолит,,13.9,5.2,,,,
2738,9.2,29445540,2,64.5,20,есть,монолит,закрытая,25.5,19.9,,,2,3.0
2739,8.9,17985000,2,44.5,2,есть,,,,6.0,Евро,раздельный,1,2.5
2740,24.0,15800000,2,88.3,17,есть,,,49.8,14.4,Евро,раздельный,1,2.5
2741,7.9,35067032,2,67.1,22,,,,31.1,,,,2,3.15
2742,,39000000,3,81.7,11,есть,,,49.9,9.7,Евро,раздельный,1,2.65
2743,16.4,16332192,1,40.5,13,,монолит,,14.6,19.7,,,,
2744,8.3,35000000,3,74.0,10,есть,,,,10.0,Хороший,раздельный,1,2.64
2745,24.8,17325650,3,83.8,3,есть,панель,закрытая,46.3,14.3,,,,2.84
2746,6.2,29750000,3,96.7,6,есть,,,,12.0,Хороший,раздельный,2,2.7
2747,16.4,16332192,1,40.5,13,,монолит,,14.6,19.7,,,,
2748,8.6,18699000,2,54.7,30,есть,,,,20.9,Евро,раздельный,1,2.7
2749,26.9,15100000,2,55.9,14,есть,,,,14.1,Дизайнерский,раздельный,1,2.64
2750,12.3,27943079,2,67.3,4,,монолит,,43.7,5.7,,,,
2751,8.9,24300000,3,55.0,7,есть,,,38.0,7.0,Евро,совмещённый,1,2.64
2752,5.2,67584900,3,118.6,9,есть,кирпич-монолит,закрытая,,,,,,
2753,6.5,16000000,1,40.0,3,есть,,,,6.0,Евро,совмещённый,1,3.0
2754,12.3,28233531,2,59.0,18,,монолит,,38.6,5.3,,,,
2755,7.1,24500000,1,43.5,2,есть,,,27.0,8.0,Дизайнерский,совмещённый,1,2.64
2756,14.7,16500000,2,71.0,16,есть,,,,16.7,Евро,совмещённый,1,2.64
2757,14.7,17000000,2,53.6,2,есть,,,28.6,9.1,Дизайнерский,раздельный,1,2.7
2758,23.8,19218984,3,87.1,13,есть,монолит,закрытая,42.1,,,,,
2759,5.2,27025620,2,60.5,10,есть,кирпич-монолит,закрытая,,,,,,
2760,13.5,18300000,2,63.0,7,есть,,,,6.0,Евро,раздельный,1,3.0
2761,5.2,34966720,2,77.4,4,есть,кирпич-монолит,закрытая,,,,,,
2762,16.8,20500000,2,58.0,12,есть,,,,10.0,Хороший,раздельный,1,2.66
2763,7.9,27095523,2,58.8,14,,,,26.0,,,,2,3.15
2764,13.8,16200000,1,43.6,14,есть,,,,9.5,Евро,раздельный,1,2.5
2765,16.4,19126935,1,40.5,23,,монолит,,14.6,19.7,,,,
2766,5.2,22877440,1,46.9,10,есть,кирпич-монолит,закрытая,,,,,,
2767,14.3,15500000,1,34.2,10,есть,,,,4.0,Хороший,совмещённый,1,2.5
2768,12.3,29091499,2,69.5,8,,монолит,,45.3,5.8,,,,
2769,,30900000,2,59.4,8,есть,,,40.0,12.0,Хороший,раздельный,1,2.5
2770,13.5,33000000,3,87.0,6,есть,,,54.0,12.0,Дизайнерский,раздельный,1,2.74
2771,5.2,18341970,1,40.5,13,есть,кирпич-монолит,закрытая,,,,,,
2772,5.2,24282100,2,56.5,6,есть,кирпич-монолит,закрытая,,,,,,
2773,5.2,15085800,,34.7,3,есть,кирпич-монолит,закрытая,,,,,,
2774,5.2,22131360,1,51.2,4,есть,кирпич-монолит,закрытая,,,,,,
2775,12.3,16677890,1,34.0,8,,монолит,,24.1,3.1,,,,
2776,5.2,34719300,2,75.2,13,есть,кирпич-монолит,закрытая,,,,,,
2777,15.8,16100000,3,59.9,6,есть,,,43.8,6.0,Евро,раздельный,1,2.64
2778,17.2,29900000,4,116.0,2,есть,,,,12.0,Хороший,совмещённый,2,2.64
2779,9.2,30704979,3,75.7,17,есть,монолит,закрытая,41.9,21.5,,,2,3.0
2780,22.6,15870000,3,80.1,2,есть,,,,8.0,Хороший,раздельный,1,3.12
2781,10.9,24400000,3,80.0,3,есть,,,60.0,10.0,Евро,раздельный,2,2.64
2782,23.5,22500000,2,62.3,2,есть,,,40.0,16.0,Евро,раздельный,1,2.64
2783,14.9,28000000,3,86.6,4,есть,,,,12.1,Евро,совмещённый,1,2.7
2784,8.2,24000000,1,53.8,15,есть,,,,19.2,Евро,раздельный,1,2.64
2785,5.2,30213720,2,61.4,16,есть,кирпич-монолит,закрытая,,,,,,
2786,12.3,28346103,2,59.0,19,,монолит,,38.6,5.3,,,,
2787,22.5,15500000,1,47.5,2,есть,,,16.5,16.5,Дизайнерский,раздельный,1,2.5
2788,14.2,17400000,3,60.0,5,есть,,,,10.0,Хороший,раздельный,1,2.5
2789,5.2,27337350,1,58.8,12,есть,кирпич-монолит,закрытая,,,,,,
2790,21.3,15850000,2,52.8,12,есть,,,16.1,20.8,Дизайнерский,раздельный,1,2.64
2791,,70454675,4,121.6,15,есть,монолит,закрытая,,,,,,3.1
2792,15.5,24313920,2,60.8,20,есть,кирпич-монолит,,30.7,9.4,,,,3.0
2793,5.2,22285050,1,51.2,5,есть,кирпич-монолит,закрытая,,,,,,
2794,8.7,16000000,2,52.2,1,есть,,,,9.0,Евро,раздельный,1,2.64
2795,13.3,20800000,3,72.7,2,есть,,,44.0,10.1,Евро,раздельный,1,2.64
2796,4.1,28700000,1,45.7,2,есть,,,,10.0,Дизайнерский,раздельный,1,3.0
2797,4.0,49542991,2,66.6,16,есть,монолит,закрытая,24.9,6.0,,,2,3.0
2798,8.7,27680000,3,57.0,13,есть,,,23.0,15.3,Евро,раздельный,1,3.25
2799,5.2,18207090,1,38.2,11,есть,кирпич-монолит,закрытая,,,,,,
2800,16.4,15868548,1,40.5,9,,монолит,,14.6,19.7,,,,
2801,9.2,27300000,2,78.6,18,есть,,,,12.5,Дизайнерский,раздельный,1,3.0
2802,5.2,16612650,1,38.2,5,есть,кирпич-монолит,закрытая,,,,,,
2803,12.3,26482708,2,53.2,25,,монолит,,35.7,4.0,,,,
2804,5.5,29900000,2,39.0,2,есть,,,,8.0,Хороший,раздельный,1,2.5
2805,5.2,21687680,1,48.4,8,есть,кирпич-монолит,закрытая,,,,,,
2806,11.9,32490000,2,66.0,7,есть,,,,31.0,Евро,раздельный,1,2.64
2807,5.6,27700000,3,86.0,7,есть,,,44.0,15.0,Чистовая отделка,раздельный,1,2.63
2808,16.4,16800129,1,40.5,17,,монолит,,14.6,19.7,,,,
2809,5.2,23086980,1,52.7,6,есть,кирпич-монолит,закрытая,,,,,,
2810,12.3,29327799,2,69.5,9,,монолит,,45.3,5.8,,,,
2811,17.2,18000000,2,60.0,9,есть,,,,11.0,Евро,раздельный,1,2.64
2812,7.4,17900000,3,51.0,1,есть,,,36.0,6.0,Евро,совмещённый,1,2.7
2813,19.3,18253282,2,52.9,17,,,,23.5,17.8,,,,
2814,14.7,15900000,2,72.4,18,есть,,,,16.8,Евро,совмещённый,1,2.64
2815,5.2,21530560,1,44.1,16,есть,кирпич-монолит,закрытая,,,,,,
2816,11.6,16800000,2,55.0,8,есть,,,,10.0,Евро,раздельный,1,2.64
2817,5.2,21500400,1,47.2,11,есть,кирпич-монолит,закрытая,,,,,,
2818,12.3,22941000,2,52.5,6,,монолит,,35.3,3.9,,,,
2819,11.6,18000000,3,79.0,1,есть,,,50.0,10.0,Евро,раздельный,1,2.75
2820,4.0,89462371,3,135.3,25,есть,монолит,закрытая,56.4,30.2,,,3,3.18
2821,19.3,18873535,2,52.9,15,,,,23.5,17.8,,,,
2822,10.5,22400000,2,57.0,27,есть,,,,10.0,Евро,раздельный,1,3.0
2823,19.3,17826079,2,53.1,13,,,,23.0,17.6,,,,
2824,15.5,18110050,1,41.3,18,есть,кирпич-монолит,подземная,15.0,11.2,,,,3.0
2825,17.4,25000000,2,90.0,19,есть,,,,10.0,Евро,раздельный,1,2.7
2826,12.9,25200000,2,63.0,7,есть,,,,6.0,Евро,раздельный,1,2.64
2827,12.3,31519690,2,69.5,15,,монолит,,45.3,5.8,,,,
2828,11.6,17200000,2,50.0,5,есть,,,,10.0,Хороший,раздельный,1,2.5
2829,18.2,25500000,2,79.0,9,есть,,,,10.0,Евро,раздельный,1,2.64
2830,16.5,15990000,3,61.7,6,есть,,,42.2,6.4,Хороший,раздельный,1,2.5
2831,5.2,16757750,1,39.4,3,есть,кирпич-монолит,закрытая,,,,,,
2832,22.9,17200000,2,69.5,8,есть,,,38.2,12.5,Евро,раздельный,1,2.64
2833,10.0,21399000,3,75.0,7,есть,,,,10.0,Евро,раздельный,1,2.5
2834,6.5,19300000,2,73.2,16,есть,,,,10.0,Евро,раздельный,1,2.8
2835,5.2,32650560,3,75.6,4,есть,кирпич-монолит,закрытая,,,,,,
2836,15.5,17715484,1,50.8,13,есть,кирпич-монолит,подземная,12.8,,,,,3.0
2837,5.2,31592220,3,69.7,7,есть,кирпич-монолит,закрытая,,,,,,
2838,4.8,20200000,2,44.5,2,есть,,,31.2,5.4,Евро,раздельный,1,2.64
2839,9.2,26638759,2,68.5,20,есть,монолит,закрытая,29.7,18.6,,,2,3.0
2840,5.0,17100000,2,55.0,4,есть,,,,8.0,Евро,совмещённый,1,3.0
2841,15.5,19693640,1,45.2,36,есть,кирпич-монолит,подземная,12.6,16.2,,,,3.0
2842,15.4,17200000,2,63.6,6,есть,,,,13.0,Дизайнерский,совмещённый,1,2.7
2843,5.2,21825780,1,52.3,2,есть,кирпич-монолит,закрытая,,,,,,
2844,18.2,18000000,2,53.0,11,есть,,,20.0,19.4,Евро,раздельный,2,2.62
2845,12.1,15650000,2,45.5,1,есть,,,,2.0,Евро,раздельный,1,2.64
2846,15.5,31806200,3,87.2,15,есть,кирпич-монолит,,51.2,10.3,,,,3.0
2847,22.3,18500000,2,60.7,12,есть,,,29.4,15.2,Евро,совмещённый,1,2.8
2848,8.7,32000000,2,77.0,27,есть,,,63.7,10.0,Дизайнерский,раздельный,1,2.5
2849,4.0,51394774,2,74.6,22,есть,монолит,закрытая,24.9,12.8,,,2,3.0
2850,11.6,26600000,2,63.0,14,есть,,,,6.0,Дизайнерский,раздельный,1,2.5
2851,5.2,18998520,1,45.6,4,есть,кирпич-монолит,закрытая,,,,,,
2852,12.2,30000000,3,112.0,3,есть,,,,30.0,Евро,раздельный,1,2.64
2853,7.9,38543269,2,74.8,21,,,,29.7,,,,2,3.15
2854,12.9,21500000,3,74.4,12,есть,,,43.1,10.1,Хороший,раздельный,1,2.64
2855,16.4,16800129,1,40.5,17,,монолит,,14.6,19.7,,,,
2856,12.7,21089837,2,64.8,3,,монолит,,32.1,7.4,,,,
2857,12.3,25557880,2,53.2,17,,монолит,,35.7,4.0,,,,
2858,8.8,30500000,3,78.8,4,есть,,,52.0,10.2,Хороший,раздельный,1,2.64
2859,5.2,17246240,1,38.2,7,есть,кирпич-монолит,закрытая,,,,,,
2860,,18450000,1,48.0,5,есть,,,30.2,10.0,Евро,раздельный,1,2.64
2861,19.3,17399212,2,52.9,18,,,,23.5,17.8,,,,
2862,14.2,17800000,3,62.3,5,есть,,,,8.1,Хороший,раздельный,1,2.5
2863,5.2,37669450,3,82.8,8,есть,кирпич-монолит,закрытая,,,,,,
2864,12.4,15500000,2,52.2,9,есть,,,34.0,10.0,Евро,раздельный,1,2.5
2865,13.4,17000000,3,77.3,6,есть,,,46.0,10.1,Евро,раздельный,1,2.5
2866,9.2,18977011,1,44.8,2,есть,монолит,закрытая,12.3,17.0,,,2,3.0
2867,5.2,35283150,2,72.4,16,есть,кирпич-монолит,закрытая,,,,,,
2868,23.0,23386600,3,87.4,10,есть,монолит,закрытая,52.4,,,,,
2869,4.2,30950000,3,53.0,2,есть,,,24.0,21.0,Дизайнерский,совмещённый,1,2.64
2870,6.6,31300000,3,60.0,8,есть,,,,10.0,Хороший,раздельный,1,2.64
2871,5.5,25900000,3,78.2,2,есть,,,54.5,8.6,Евро,раздельный,1,2.65
2872,22.6,15870000,3,80.1,2,есть,,,,8.0,Хороший,раздельный,1,3.12
2873,24.9,18990000,3,89.9,4,есть,,,,8.0,Евро,раздельный,1,2.75
2874,5.2,21003720,1,46.0,9,есть,кирпич-монолит,закрытая,,,,,,
2875,5.2,31527000,3,69.8,13,есть,кирпич-монолит,закрытая,,,,,,
2876,15.9,22600000,3,87.1,3,есть,,,,10.0,Хороший,раздельный,1,2.64
2877,12.0,24500000,2,86.0,22,есть,,,,20.0,Евро,совмещённый,2,2.5
2878,10.6,31790000,2,54.7,18,есть,,,30.9,11.1,Дизайнерский,совмещённый,1,2.9
2879,4.0,42960443,2,62.4,13,есть,монолит,закрытая,19.3,5.9,,,2,3.0
2880,,53231781,2,55.9,21,есть,монолит,закрытая,,,,,,3.1
2881,5.2,15768750,1,36.3,5,есть,кирпич-монолит,закрытая,,,,,,
2882,,36000000,2,51.9,9,есть,,,,10.0,Хороший,раздельный,1,2.95
2883,12.3,19915860,1,37.1,36,,монолит,,26.8,3.5,,,,
2884,16.4,19126935,1,40.5,23,,монолит,,14.6,19.7,,,,
2885,12.3,24978801,2,53.0,16,,монолит,,35.6,3.9,,,,
2886,6.9,21100000,3,55.0,5,есть,,,,6.0,Евро,раздельный,1,2.6
2887,7.9,40920011,2,80.6,25,,,,29.6,,,,2,3.15
2888,12.6,15433502,1,40.6,31,,монолит,,13.6,8.8,,,,
2889,21.8,16000000,2,69.0,4,есть,,,,10.0,Евро,раздельный,1,2.64
2890,9.4,18800000,2,57.0,5,есть,,,,15.0,Дизайнерский,раздельный,1,2.64
2891,5.2,21084990,1,47.2,9,есть,кирпич-монолит,закрытая,,,,,,
2892,11.3,22500000,2,54.6,21,есть,,,24.0,13.1,Евро,раздельный,2,3.1
2893,12.7,24897674,2,61.8,15,,монолит,,31.0,6.1,,,,
2894,16.4,16000000,2,53.7,8,есть,,,32.1,8.5,Евро,раздельный,1,2.6
2895,8.9,22900000,4,89.0,8,есть,,,,10.0,Евро,раздельный,1,2.7
2896,5.2,25976200,2,56.5,12,есть,кирпич-монолит,закрытая,,,,,,
2897,5.2,28262840,2,60.5,13,есть,кирпич-монолит,закрытая,,,,,,
2898,16.4,15636726,1,40.5,7,,монолит,,14.6,19.7,,,,
2899,11.9,22200000,2,62.4,5,есть,,,24.9,10.0,Хороший,раздельный,1,2.64
2900,19.3,17038538,2,53.2,11,,,,25.9,14.0,,,,
2901,,17250000,2,68.6,2,есть,,,27.5,21.5,Хороший,раздельный,1,2.64
2902,21.1,21500000,3,90.0,5,есть,,,,15.0,Евро,совмещённый,2,2.8
2903,5.2,20141590,1,47.2,2,есть,кирпич-монолит,закрытая,,,,,,
